filepath,label
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000000.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000012.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000023.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000035.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000047.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000058.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000110.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000121.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000133.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000145.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000156.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000208.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000219.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000231.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000243.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000254.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000306.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000318.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000330.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000342.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000353.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000405.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000416.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000428.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000439.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000451.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000502.jpg,non-GHOST-aurora
/Volumes/KHO/Sony/Quicklooks/2020/01/03/LYR-Sony-20200103_000514.jpg,non-GHOST-aurora
